"Step 1","Step 2","Step 3","User Name","title","Bin Category","Quarter-Year","Week Number","Week Start Date","Week End Date","Count"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","KB002230","Business Manager - All Products","Power User","2024Q4","Week 3","2024-10-15","2024-10-21","21"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","KB002230","Business Manager - All Products","Power User","2024Q4","Week 3","2024-10-15","2024-10-21","19"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","GP069024","Director Enterprise Planning & Analysis","Power User","2022Q3","Week 2","2022-07-08","2022-07-14","15"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","GP069024","Director Enterprise Planning & Analysis","Power User","2022Q3","Week 11","2022-09-09","2022-09-15","15"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Supplier Mix","/shared/Enterprise Analytics/_portal/Sales and GP","KB002230","Business Manager - All Products","Power User","2024Q2","Week 2","2024-04-08","2024-04-14","14"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","GP069024","Director Enterprise Planning & Analysis","Power User","2022Q3","Week 11","2022-09-09","2022-09-15","14"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","GP069024","Director Enterprise Planning & Analysis","Power User","2022Q3","Week 2","2022-07-08","2022-07-14","14"
"/shared/Enterprise Analytics/_portal/Supplier Mix","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Supplier Mix","KB002230","Business Manager - All Products","Power User","2024Q2","Week 2","2024-04-08","2024-04-14","13"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","SS009246","ABC District Manager","Power User","2023Q4","Week 3","2023-10-15","2023-10-21","13"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","SS009246","ABC District Manager","Power User","2023Q4","Week 3","2023-10-15","2023-10-21","13"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","PA020877","ABC District Manager","Power User","2022Q3","Week 3","2022-07-15","2022-07-21","12"
