Username,Navigation_Path,Count
AA003908,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales,44
AA003908,Daily Sales -> Daily Sales -> Daily Sales -> Inventory Management -> Inventory Finder -> Search by Distance -> Daily Sales -> Daily Sales -> Daily Sales,5
AA003908,Inventory Management -> Inventory Finder -> Search by Distance -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales,4
AA003908,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Inventory Management -> Inventory Finder -> Search by Distance,3
AA003908,Inventory Management -> Inventory Finder -> Search by Distance -> Daily Sales -> Daily Sales -> Daily Sales -> Inventory Management -> Inventory Finder -> Search by Distance,2
AA004808,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,21
AA004808,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,14
AA004808,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,9
AA004808,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview,8
AA004808,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview,7
AA016962,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales,31
AA016962,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Branch Operations -> Branch Summary -> Summary Dashboard,16
